,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,1 day,79,149,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,1 day,99,199,
24 Hours Batch - Full Day Access,1 day,149,299,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,8 days,299,349,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,8 days,399,499,
24 Hours Batch - Full Day Access,8 days,599,699,
,,,,
,Duration,Dyandhara,Dyanprun,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,15 days,599,849,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,15 days,699,1199,
24 Hours Batch - Full Day Access,15 days,999,1799,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,1 month,799,1399,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,1 month,999,1999,
24 Hours Batch - Full Day Access,1 month,1499,2999,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,2 months,1599,2799,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,2 months,1999,3999,
24 Hours Batch - Full Day Access,2 months,2999,5999,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,3 months,2299,3499,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,3 months,2799,4999, 
24 Hours Batch - Full Day Access,3 months,4499,7499,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,4 months,2999,4999,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,4 months,3799,6999,
24 Hours Batch - Full Day Access,4 months,5999,9999,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,5 months,3499,5999,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,5 months,4499,7999,
24 Hours Batch - Full Day Access,5 months,6999,11499,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,6 months,3999,6499,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,6 months,4999,8999,
24 Hours Batch - Full Day Access,6 months,7499,12999,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,7 months,4999,7499,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,7 months,5999,10499,
24 Hours Batch - Full Day Access,7 months,8999,14999,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,8 months,5199,7499,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,8 months,6499,10999,
24 Hours Batch - Full Day Access,8 months,9999,15999,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,9 months,5599,7999,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,9 months,6999,11499,
24 Hours Batch - Full Day Access,9 months,10999,16999,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,10 months,5999,8499,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,10 months,7499,11999,
24 Hours Batch - Full Day Access,10 months,11499,17499,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,11 months,6499,8999,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,11 months,7999,12499,
24 Hours Batch - Full Day Access,11 months,12499,17999,
,,,,
,,,,
,Duration,Dyandhara,Dyanpurn,
Night Batch (10:00 PM - 7:00 AM) - 9 Hours,12 months,6999,9499,
Day Batch (7:00 AM - 10:00 PM) - 15 Hours,12 months,8499,12999,
24 Hours Batch - Full Day Access,12 months,12999,18999,
